"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_ETH_20","C2021_ETH_20_NAME","C2021_ETH_20_CODE","C2021_ETH_20_TYPE","C2021_ETH_20_TYPECODE","C2021_ETH_20_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"8","Mixed or Multiple ethnic groups: White and Asian","_9","Ethnic group",1000000,8,"20301","Percent",0.9,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d8d20301",17,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"9","Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups","_12","Ethnic group",1000000,9,"20100","Value",2140,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d9d20100",18,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"9","Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups","_12","Ethnic group",1000000,9,"20301","Percent",0.5,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d9d20301",19,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"10","Asian, Asian British or Asian Welsh: Indian","_3","Ethnic group",1000000,10,"20100","Value",22739,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d10d20100",20,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"10","Asian, Asian British or Asian Welsh: Indian","_3","Ethnic group",1000000,10,"20301","Percent",5.2,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d10d20301",21,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"11","Asian, Asian British or Asian Welsh: Pakistani","_4","Ethnic group",1000000,11,"20100","Value",54795,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d11d20100",22,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"11","Asian, Asian British or Asian Welsh: Pakistani","_4","Ethnic group",1000000,11,"20301","Percent",12.6,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d11d20301",23,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"12","Asian, Asian British or Asian Welsh: Bangladeshi","_1","Ethnic group",1000000,12,"20100","Value",1065,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d12d20100",24,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"12","Asian, Asian British or Asian Welsh: Bangladeshi","_1","Ethnic group",1000000,12,"20301","Percent",0.2,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d12d20301",25,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"13","Asian, Asian British or Asian Welsh: Chinese","_2","Ethnic group",1000000,13,"20100","Value",1526,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d13d20100",26,40
