"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_AGE_19","C2021_AGE_19_NAME","C2021_AGE_19_CODE","C2021_AGE_19_TYPE","C2021_AGE_19_TYPECODE","C2021_AGE_19_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"9","Aged 40 to 44 years","_9","Age",1000000,9,"20100","Value",27197,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d9d20100",18,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"9","Aged 40 to 44 years","_9","Age",1000000,9,"20301","Percent",6.3,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d9d20301",19,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"10","Aged 45 to 49 years","_10","Age",1000000,10,"20100","Value",28057,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d10d20100",20,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"10","Aged 45 to 49 years","_10","Age",1000000,10,"20301","Percent",6.5,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d10d20301",21,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"11","Aged 50 to 54 years","_11","Age",1000000,11,"20100","Value",30860,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d11d20100",22,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"11","Aged 50 to 54 years","_11","Age",1000000,11,"20301","Percent",7.1,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d11d20301",23,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"12","Aged 55 to 59 years","_12","Age",1000000,12,"20100","Value",28623,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d12d20100",24,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"12","Aged 55 to 59 years","_12","Age",1000000,12,"20301","Percent",6.6,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d12d20301",25,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"13","Aged 60 to 64 years","_13","Age",1000000,13,"20100","Value",24526,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d13d20100",26,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"13","Aged 60 to 64 years","_13","Age",1000000,13,"20301","Percent",5.7,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d13d20301",27,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"14","Aged 65 to 69 years","_14","Age",1000000,14,"20100","Value",21033,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d14d20100",28,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"14","Aged 65 to 69 years","_14","Age",1000000,14,"20301","Percent",4.9,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d14d20301",29,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"15","Aged 70 to 74 years","_15","Age",1000000,15,"20100","Value",21428,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d15d20100",30,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"15","Aged 70 to 74 years","_15","Age",1000000,15,"20301","Percent",4.9,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d15d20301",31,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"16","Aged 75 to 79 years","_16","Age",1000000,16,"20100","Value",14857,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d16d20100",32,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"16","Aged 75 to 79 years","_16","Age",1000000,16,"20301","Percent",3.4,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d16d20301",33,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"17","Aged 80 to 84 years","_17","Age",1000000,17,"20100","Value",10289,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d17d20100",34,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"17","Aged 80 to 84 years","_17","Age",1000000,17,"20301","Percent",2.4,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d17d20301",35,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"18","Aged 85 years and over","_18","Age",1000000,18,"20100","Value",9206,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d18d20100",36,38
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"18","Aged 85 years and over","_18","Age",1000000,18,"20301","Percent",2.1,"A","Normal Value","F","Free (free for publication)","Nm-2020d1d32336e0d645922886d18d20301",37,38
