LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2015 (excluding prisoners),Dependent Children aged 0-15: mid 2015 (excluding prisoners),Population aged 16-59: mid 2015 (excluding prisoners),Older population aged 60 and over: mid 2015 (excluding prisoners),Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners) 
E01011156,Kirklees 015A,E08000034,Kirklees,16.821,17159,6,0.1,16372,5,0.093,13672,5,9.287,22589,7,0.064,15024,5,0.213,13280,5,20.065,16573,6,23.566,12734,4,0.083,21813,7,0.135,15661,5,-0.77,27301,9,0.288,17375,6,0.372,9696,3,-0.646,18672,6,0.141,14278,5,0.598,7447,3,1597,268,820,509,837
E01011157,Kirklees 011A,E08000034,Kirklees,33.378,6516,2,0.211,6020,2,0.142,7254,3,32.302,7705,3,0.21,12927,4,0.702,6492,2,21.622,14753,5,45.886,2700,1,0.213,9182,3,0.246,7119,3,0.042,15360,5,0.455,3797,2,0.081,14256,5,0.87,11073,4,0.669,7113,3,1.634,1200,1,1740,436,1046,258,1030
E01011158,Kirklees 015B,E08000034,Kirklees,22.297,12533,4,0.094,17228,6,0.074,17892,6,24.161,11261,4,-0.374,21793,7,1.043,3210,1,14.539,23618,8,51.976,1583,1,0.123,16720,6,0.116,17844,6,0.173,13333,5,0.365,9413,3,-0.187,19033,6,-0.087,15639,5,1.324,1774,1,0.519,8198,3,1994,429,1180,385,1165
E01011159,Kirklees 015C,E08000034,Kirklees,11.993,22184,7,0.058,24247,8,0.072,18253,6,6.072,26096,8,0.266,12105,4,0.008,16560,6,13.489,24836,8,20.9,14625,5,0.043,28632,9,0.066,26038,8,-0.634,25715,8,0.225,24548,8,0.237,11716,4,-2.488,27780,9,0.339,11369,4,-0.095,16899,6,1761,308,945,508,960
E01011160,Kirklees 015D,E08000034,Kirklees,8.277,26725,9,0.039,28754,9,0.042,27138,9,7.791,24160,8,-0.403,22159,7,0.058,15772,5,15.122,22830,7,25.283,11593,4,0.057,26205,8,0.047,29542,9,-0.732,26890,9,0.264,20155,7,0.216,12042,4,-1.502,23406,8,0.518,8938,3,0.012,15091,5,1410,278,820,312,817
E01011161,Kirklees 011B,E08000034,Kirklees,18.966,15263,5,0.072,21089,7,0.058,21994,7,16.642,16084,5,-0.199,19127,6,1.151,2520,1,18.1,18991,6,42.156,3617,2,0.114,17683,6,0.077,23849,8,-0.485,23708,8,0.354,10361,4,0.315,10559,4,-0.958,20452,7,0.486,9394,3,1.656,1133,1,1312,279,745,288,746
E01011162,Kirklees 015E,E08000034,Kirklees,13.04,21007,7,0.073,20981,7,0.074,17855,6,9.024,22834,7,-0.389,21983,7,0.075,15500,5,14.011,24214,8,32.685,7368,3,0.106,18744,6,0.059,27466,9,-0.726,26831,9,0.282,18102,6,0.219,11989,4,-2.027,25936,8,0.786,5836,2,0.156,12781,4,1466,236,725,505,755
E01011163,Kirklees 011C,E08000034,Kirklees,44.786,3102,1,0.254,3841,2,0.202,3038,1,56.051,2240,1,1.318,2251,1,0.756,5879,2,22.861,13359,5,17.545,17171,6,0.362,2288,1,0.202,9800,3,1.348,1609,1,0.457,3722,2,0.163,12865,4,0.891,10979,4,-0.052,17291,6,0.247,11469,4,1379,279,715,385,712
E01011164,Kirklees 011D,E08000034,Kirklees,18.916,15309,5,0.093,17421,6,0.076,17275,6,24.184,11243,4,0.101,14499,5,0.612,7569,3,20.239,16376,5,25.274,11603,4,0.108,18532,6,0.119,17454,6,0.091,14623,5,0.376,8551,3,0.351,10019,4,-0.491,17804,6,0.334,11427,4,0.419,9269,3,1816,362,1004,450,1013
E01011165,Kirklees 011E,E08000034,Kirklees,26.044,10170,4,0.156,9921,4,0.094,13545,5,37.454,6067,2,0.322,11309,4,0.835,5063,2,22.338,13924,5,19.503,15674,5,0.176,11866,4,0.228,8157,3,0.519,8622,3,0.444,4281,2,0.296,10807,4,0.302,13696,5,0.072,15336,5,0.264,11215,4,1824,480,1117,227,1082
E01011166,Kirklees 011F,E08000034,Kirklees,35.853,5588,2,0.18,8060,3,0.142,7332,3,35.457,6616,3,0.712,6763,3,0.779,5651,2,14.96,23082,8,60.202,669,1,0.148,14229,5,0.281,5423,2,0.307,11324,4,0.453,3886,2,-0.747,27389,9,1.033,10408,4,1.565,913,1,0.589,7519,3,1665,369,975,321,992
E01011167,Kirklees 011G,E08000034,Kirklees,43.529,3354,2,0.213,5919,2,0.179,4358,2,50.17,3218,1,0.878,5232,2,0.901,4377,2,15.645,22162,7,61.708,527,1,0.206,9656,3,0.277,5636,2,0.64,7164,3,0.522,1429,1,-1.072,30310,10,1.44,8811,3,1.601,818,1,0.631,7134,3,1968,485,1084,399,1081
E01011168,Kirklees 055A,E08000034,Kirklees,8.012,27056,9,0.056,24767,8,0.056,22627,7,6.352,25779,8,-0.655,25411,8,-0.052,17456,6,6.121,31469,10,21.214,14391,5,0.064,24839,8,0.064,26375,9,-0.617,25485,8,0.229,24162,8,-0.44,23122,8,-2.328,27179,9,0.494,9275,3,-0.547,24156,8,1579,258,815,506,840
E01011169,Kirklees 053A,E08000034,Kirklees,9.393,25267,8,0.049,26487,9,0.059,21884,7,3.335,29340,9,-0.596,24673,8,0.371,10870,4,12.93,25492,8,25.157,11678,4,0.056,26326,9,0.04,30727,10,-0.912,28659,9,0.189,28051,9,0.208,12154,4,-2.597,28155,9,0.637,7487,3,-0.377,21660,7,1525,247,803,475,835
E01011170,Kirklees 053B,E08000034,Kirklees,9.053,25724,8,0.036,29579,10,0.039,28112,9,4.447,27980,9,-0.825,27250,9,0.7,6506,2,16.966,20478,7,26.524,10851,4,0.055,26502,9,0.04,30677,10,-0.649,25898,8,0.188,28137,9,0.404,9220,3,-1.996,25812,8,0.763,6080,2,-0.758,26908,9,1774,343,960,471,953
E01011171,Kirklees 053C,E08000034,Kirklees,9.816,24736,8,0.06,23824,8,0.046,25923,8,6.327,25806,8,-0.261,20048,7,0.234,12953,4,7.703,30530,10,29.089,9325,3,0.077,22780,7,0.069,25490,8,-0.333,21469,7,0.181,28736,9,-0.927,29228,9,-0.647,18678,6,0.752,6219,2,-0.18,18325,6,1439,252,846,341,853
E01011172,Kirklees 053D,E08000034,Kirklees,27.819,9139,3,0.215,5784,2,0.14,7480,3,26.365,10121,4,0.627,7635,3,0.382,10712,4,15.054,22943,7,9.778,24276,8,0.246,7108,3,0.281,5452,2,0.567,8018,3,0.329,12809,4,-0.432,23008,8,0.595,12329,4,-0.224,19984,7,-0.555,24265,8,1043,186,514,343,514
E01011173,Kirklees 053E,E08000034,Kirklees,5.237,30278,10,0.038,28995,9,0.051,24273,8,3.231,29471,9,-0.416,22330,7,-1.109,29906,10,16.454,21103,7,7.322,26924,9,0.054,26680,9,0.043,30271,10,-0.977,29209,9,0.193,27777,9,0.42,9022,3,-2.436,27582,9,-0.504,23945,8,-0.496,23432,8,1290,257,641,392,645
E01011174,Kirklees 055B,E08000034,Kirklees,9.633,24967,8,0.038,29031,9,0.045,26246,8,2.885,29875,10,-0.253,19910,7,0.933,4100,2,16.555,20974,7,11.844,22135,7,0.036,29765,10,0.05,29168,9,-0.972,29161,9,0.182,28685,9,0.442,8740,3,-2.607,28191,9,0.028,16010,5,-0.913,28654,9,1792,288,905,599,930
E01011175,Kirklees 055C,E08000034,Kirklees,30.15,7955,3,0.206,6315,2,0.16,5705,2,34.89,6800,3,0.227,12681,4,0.305,11858,4,16.15,21479,7,27.932,9993,4,0.293,4694,2,0.135,15566,5,0.757,5880,2,0.383,8016,3,-0.298,20859,7,0.593,12340,4,0.808,5607,2,-0.689,26025,8,1510,360,829,321,832
E01011176,Kirklees 053F,E08000034,Kirklees,11.477,22765,7,0.074,20673,7,0.058,21966,7,11.801,20146,7,-0.304,20713,7,-0.362,21927,7,15.279,22652,7,28.385,9732,3,0.095,20031,7,0.102,19806,7,0.043,15351,5,0.224,24716,8,0.074,14393,5,-0.761,19354,6,0.749,6257,2,-0.275,19896,7,1436,274,819,343,813
E01011177,Kirklees 055D,E08000034,Kirklees,8.162,26876,9,0.059,23930,8,0.05,24598,8,5.935,26234,8,-0.871,27719,9,0.116,14877,5,7.591,30614,10,24.204,12289,4,0.1,19479,6,0.043,30338,10,-0.561,24750,8,0.214,25815,8,-0.21,19422,6,-2.664,28394,9,0.635,7520,3,-0.563,24378,8,1840,352,974,514,995
E01011178,Kirklees 055E,E08000034,Kirklees,18.301,15869,5,0.123,13373,5,0.097,13102,4,13.271,18808,6,-0.182,18862,6,0.325,11566,4,15.128,22826,7,30.051,8776,3,0.167,12515,4,0.115,17955,6,-0.162,18786,6,0.285,17742,6,-0.374,22110,7,0.507,12752,4,0.84,5252,2,-0.412,22223,7,1888,331,1064,493,1077
E01011179,Kirklees 059A,E08000034,Kirklees,5.905,29565,10,0.036,29503,9,0.03,30723,10,2.843,29928,10,-1.156,29993,10,-0.779,27092,9,23.922,12222,4,23.526,12763,4,0.031,30521,10,0.068,25536,8,-1.023,29555,9,0.185,28409,9,0.761,5263,2,-1.588,23866,8,0.664,7156,3,-0.987,29333,9,1728,276,978,474,996
E01011180,Kirklees 058A,E08000034,Kirklees,7.321,27915,9,0.044,27554,9,0.043,27065,9,3.715,28859,9,-0.755,26524,9,-0.606,25146,8,26.379,9829,3,16.96,17626,6,0.052,26947,9,0.061,27008,9,-0.805,27669,9,0.189,28096,9,0.801,4877,2,-0.981,20619,7,0.318,11649,4,-0.783,27213,9,1904,342,1077,485,1106
E01011181,Kirklees 059B,E08000034,Kirklees,10.554,23827,8,0.055,24990,8,0.057,22416,7,1.577,31360,10,-0.596,24664,8,-0.06,17556,6,13.528,24782,8,40.652,4055,2,0.058,25956,8,0.085,22459,7,-1.457,31821,10,0.171,29502,9,-0.002,15693,5,-1.004,20750,7,1.234,2240,1,-0.631,25316,8,1807,305,1054,448,1102
E01011182,Kirklees 058B,E08000034,Kirklees,16.931,17049,6,0.06,23661,8,0.051,24507,8,3.992,28555,9,-0.374,21788,7,0.714,6347,2,32.703,5261,2,44.861,2934,1,0.08,22355,7,0.061,26995,9,-0.79,27518,9,0.195,27568,9,1.265,2200,1,-1.634,24080,8,1.388,1505,1,-0.841,27885,9,1721,306,947,468,965
E01011183,Kirklees 059C,E08000034,Kirklees,9.849,24700,8,0.03,30800,10,0.033,29976,10,3.836,28725,9,-0.986,28708,9,-0.051,17443,6,30.859,6382,2,35.49,6022,2,0.039,29192,9,0.04,30769,10,-0.924,28756,9,0.204,26747,9,1.245,2280,1,-2.413,27493,9,1.078,3279,1,-0.664,25725,8,1960,388,1144,428,1154
E01011184,Kirklees 059D,E08000034,Kirklees,21.757,12946,4,0.17,8779,3,0.118,9973,4,20.932,13182,5,0.081,14802,5,-0.071,17705,6,20.808,15707,5,14.133,19996,7,0.287,4978,2,0.125,16828,6,0.517,8642,3,0.271,19342,6,0.367,9780,3,-0.395,17329,6,0.116,14665,5,-0.619,25164,8,1446,308,780,358,787
E01011185,Kirklees 059E,E08000034,Kirklees,10.092,24399,8,0.067,22165,7,0.068,19311,6,12.204,19761,7,-0.581,24467,8,-0.485,23563,8,15.103,22858,7,18.677,16289,5,0.075,23165,8,0.05,29084,9,0.15,13684,5,0.205,26717,9,0.188,12448,4,-1.361,22692,7,0.383,10770,4,-0.627,25270,8,1681,314,894,473,904
E01011186,Kirklees 058C,E08000034,Kirklees,8.396,26563,9,0.048,26643,9,0.046,26112,8,2.943,29796,10,-0.566,24270,8,-0.408,22544,7,25.239,10879,4,22.252,13689,5,0.059,25804,8,0.049,29208,9,-1.04,29691,10,0.189,28029,9,0.774,5138,2,-1.186,21724,7,0.495,9270,3,-0.343,21064,7,1793,283,908,602,923
E01011187,Kirklees 059F,E08000034,Kirklees,11.272,23025,8,0.071,21234,7,0.062,20960,7,9.974,21848,7,-0.522,23718,8,0.131,14639,5,21.903,14440,5,14.779,19413,6,0.136,15400,5,0.036,31262,10,-0.131,18273,6,0.226,24440,8,0.631,6513,2,-1.485,23314,8,0.099,14918,5,-0.419,22324,7,1803,366,991,446,979
E01011188,Kirklees 058D,E08000034,Kirklees,14.099,19850,7,0.087,18409,6,0.084,15458,5,7.649,24312,8,-0.151,18416,6,0.162,14141,5,18.388,18622,6,20.784,14708,5,0.113,17845,6,0.076,23958,8,-0.443,23107,8,0.232,23759,8,0.397,9307,3,-1.332,22553,7,0.469,9627,3,-0.521,23785,8,1652,309,869,474,862
E01011189,Kirklees 059G,E08000034,Kirklees,6.682,28681,9,0.025,31668,10,0.038,28399,9,3.215,29491,9,-0.616,24905,8,-0.018,16973,6,19.673,17033,6,22.021,13838,5,0.025,31364,10,0.037,31139,10,-0.931,28805,9,0.187,28207,9,0.684,6012,2,-3.498,30637,10,0.496,9242,3,-0.388,21851,7,1598,276,780,542,805
E01011190,Kirklees 051A,E08000034,Kirklees,5.598,29905,10,0.03,30771,10,0.033,29923,10,2.847,29922,10,-0.955,28457,9,-0.651,25659,8,20.49,16083,5,24.085,12359,4,0.032,30405,10,0.035,31385,10,-1.069,29884,10,0.189,28085,9,0.394,9371,3,-0.632,18589,6,0.624,7652,3,-0.534,23950,8,1685,238,933,514,949
E01011191,Kirklees 046A,E08000034,Kirklees,9.798,24759,8,0.067,22158,7,0.05,24675,8,15.129,17270,6,-0.328,21093,7,-0.17,19213,6,13.116,25252,8,17.318,17351,6,0.099,19537,6,0.067,25721,8,-0.164,18823,6,0.309,15002,5,-0.016,15971,5,-1.076,21151,7,0.313,11706,4,-0.662,25705,8,1576,263,847,466,860
E01011192,Kirklees 046B,E08000034,Kirklees,22.733,12230,4,0.144,11017,4,0.127,8823,3,23.334,11708,4,0.21,12933,4,-0.004,16739,6,21.898,14444,5,18.806,16189,5,0.166,12599,4,0.134,15730,5,0.538,8376,3,0.299,16100,5,0.315,10551,4,0.117,14589,5,0.21,13162,5,-0.086,16729,6,1665,339,859,467,885
E01011193,Kirklees 046C,E08000034,Kirklees,11.344,22931,7,0.089,18056,6,0.061,21372,7,13.729,18388,6,-0.196,19076,6,-0.281,20776,7,11.625,26985,9,16.959,17627,6,0.135,15482,5,0.1,20012,7,0.146,13752,5,0.237,23231,8,0.046,14876,5,-2.017,25895,8,0.295,11933,4,-0.683,25960,8,1922,383,1091,448,1111
E01011194,Kirklees 046D,E08000034,Kirklees,6.535,28853,9,0.046,27236,9,0.052,24126,8,7.831,24108,8,-0.5,23422,8,-0.559,24561,8,14.694,23407,8,10.5,23540,8,0.111,18118,6,0.044,30166,10,-0.529,24309,8,0.246,22222,7,0.302,10719,4,-2.347,27245,9,-0.273,20721,7,-0.309,20507,7,1322,162,615,545,634
E01011195,Kirklees 051B,E08000034,Kirklees,10.135,24335,8,0.019,32294,10,0.02,32199,10,4.827,27516,9,-0.869,27692,9,-0.997,29070,9,40.255,2124,1,32.875,7261,3,0.035,29935,10,0.038,31075,10,-0.529,24312,8,0.178,28981,9,1.416,1685,1,-0.034,15376,5,0.981,4004,2,-0.63,25308,8,2003,214,1440,349,1442
E01011196,Kirklees 051C,E08000034,Kirklees,4.219,31288,10,0.042,28184,9,0.035,29299,9,3.363,29299,9,-0.918,28133,9,-0.37,22028,7,14.102,24109,8,8.672,25443,8,0.062,25364,8,0.048,29445,9,-0.798,27601,9,0.177,29054,9,0.246,11572,4,-2.187,26636,9,-0.334,21646,7,-0.534,23964,8,1782,352,955,475,970
E01011197,Kirklees 051D,E08000034,Kirklees,20.385,14029,5,0.099,16408,5,0.084,15407,5,23.978,11362,4,0.142,13850,5,-0.417,22668,7,22.173,14127,5,42.985,3408,2,0.11,18192,6,0.118,17552,6,0.576,7910,3,0.299,16073,5,0.503,7949,3,-0.669,18788,6,1.29,1943,1,-0.509,23612,8,1601,317,839,445,848
E01011198,Kirklees 056C,E08000034,Kirklees,5.006,30498,10,0.031,30597,10,0.026,31477,10,2.658,30153,10,-0.726,26195,8,-0.517,24027,8,17.648,19593,6,21.199,14407,5,0.032,30377,10,0.047,29678,10,-1.026,29584,10,0.18,28848,9,0.436,8829,3,-1.892,25347,8,0.529,8794,3,-0.752,26842,9,1601,328,806,467,833
E01011199,Kirklees 056D,E08000034,Kirklees,7.751,27366,9,0.056,24612,8,0.063,20776,7,6.482,25622,8,-0.622,24979,8,-0.648,25627,8,4.872,32077,10,21.68,14058,5,0.053,26864,9,0.071,25099,8,-0.334,21491,7,0.186,28316,9,-0.857,28547,9,-1.736,24584,8,0.561,8417,3,-0.802,27412,9,1560,320,825,415,822
E01011200,Kirklees 032D,E08000034,Kirklees,10.097,24391,8,0.054,25266,8,0.047,25623,8,8.711,23175,8,-0.452,22792,7,-0.671,25887,8,29.305,7436,3,21.154,14437,5,0.066,24580,8,0.088,21980,7,-0.212,19590,6,0.217,25500,8,0.979,3598,2,-1.062,21074,7,0.387,10711,4,-0.184,18373,6,2423,526,1509,388,1499
E01011201,Kirklees 030A,E08000034,Kirklees,21.785,12926,4,0.119,13848,5,0.108,11244,4,8.934,22936,7,0.42,10066,4,0.862,4772,2,12.157,26390,9,30.999,8252,3,0.112,17924,6,0.128,16391,5,-0.34,21568,7,0.241,22716,7,-1.099,30483,10,0.672,12015,4,0.636,7500,3,0.373,9847,3,1902,320,1063,519,1071
E01011202,Kirklees 036C,E08000034,Kirklees,20.598,13855,5,0.136,11846,4,0.12,9630,3,12.701,19315,6,0.534,8700,3,-0.153,18936,6,12.079,26472,9,23.684,12645,4,0.163,12880,4,0.155,13625,5,-0.328,21405,7,0.296,16375,5,-0.423,22869,7,-0.189,16194,5,0.358,11089,4,0.195,12215,4,1506,260,780,466,779
E01011203,Kirklees 030B,E08000034,Kirklees,8.868,25976,8,0.06,23651,8,0.061,21335,7,3.454,29186,9,-0.341,21314,7,-0.045,17352,6,20.122,16504,6,8.578,25554,8,0.065,24742,8,0.082,22994,8,-0.956,29011,9,0.197,27421,9,0.422,8997,3,-0.873,19987,7,-0.596,25121,8,-0.161,18005,6,1902,379,1058,465,1059
E01011204,Kirklees 033A,E08000034,Kirklees,8.761,26102,8,0.038,28996,9,0.055,23201,8,1.259,31723,10,-0.086,17354,6,0.482,9318,3,13.949,24292,8,14.094,20032,7,0.03,30669,10,0.059,27464,9,-1.68,32387,10,0.166,29811,10,0.175,12638,4,-1.774,24762,8,-0.147,18808,6,-0.007,15406,5,1577,287,768,522,783
E01011205,Kirklees 036D,E08000034,Kirklees,8.645,26242,8,0.042,28022,9,0.045,26377,9,3.793,28770,9,-0.764,26614,9,-0.116,18368,6,24.517,11613,4,26.145,11078,4,0.044,28419,9,0.068,25648,8,-0.923,28743,9,0.203,26861,9,0.727,5575,2,-1.133,21442,7,0.5,9185,3,0.159,12736,4,1612,230,963,419,989
E01011206,Kirklees 033B,E08000034,Kirklees,23.794,11508,4,0.136,11914,4,0.123,9302,3,14.68,17606,6,0.833,5605,2,0.17,13991,5,18.292,18736,6,24.858,11875,4,0.116,17485,6,0.169,12391,4,-0.118,18038,6,0.297,16298,5,-0.079,17056,6,0.562,12475,4,0.507,9099,3,-0.008,15425,5,1566,266,938,362,933
E01011207,Kirklees 038C,E08000034,Kirklees,9.932,24616,8,0.052,25772,8,0.047,25802,8,8.659,23237,8,-0.338,21245,7,0.209,13335,5,19.789,16897,6,21.822,13969,5,0.069,24128,8,0.072,24834,8,-0.499,23899,8,0.256,21004,7,0.469,8388,3,-1.235,22038,7,0.381,10801,4,-0.074,16530,6,1531,270,813,448,792
E01011208,Kirklees 033C,E08000034,Kirklees,22.83,12159,4,0.13,12527,4,0.094,13523,5,12.379,19590,6,0.124,14122,5,-0.059,17529,6,14.758,23342,8,60.002,684,1,0.197,10270,4,0.135,15597,5,-0.103,17796,6,0.263,20275,7,-0.584,25295,8,0.776,11498,4,1.698,603,1,0.117,13364,5,1674,336,994,344,996
E01011209,Kirklees 030C,E08000034,Kirklees,9.35,25320,8,0.055,24907,8,0.041,27707,9,4.516,27890,9,-0.321,20986,7,0.055,15819,5,14.562,23587,8,31.731,7865,3,0.071,23823,8,0.085,22376,7,-0.725,26817,9,0.201,27010,9,0.304,10701,4,-2.444,27611,9,0.754,6194,2,0.144,12958,4,1812,333,1010,469,1040
E01011210,Kirklees 027D,E08000034,Kirklees,10.285,24157,8,0.068,21858,7,0.062,20900,7,1.614,31310,10,-0.697,25887,8,0.034,16153,5,17.421,19887,7,27.978,9963,4,0.084,21728,7,0.07,25268,8,-1.732,32459,10,0.18,28827,9,0.16,12913,4,-0.493,17813,6,0.703,6743,3,-0.173,18196,6,1956,398,1166,392,1189
E01011211,Kirklees 030D,E08000034,Kirklees,10.306,24133,8,0.055,25013,8,0.069,19076,6,8.732,23154,8,-0.271,20205,7,0.018,16400,5,15.27,22659,7,17.527,17186,6,0.058,25975,8,0.058,27645,9,-0.282,20694,7,0.229,24100,8,0.233,11779,4,-1.538,23608,8,0.014,16226,5,0.136,13071,4,1590,254,806,530,805
E01011212,Kirklees 026A,E08000034,Kirklees,30.19,7938,3,0.176,8315,3,0.156,6054,2,24.985,10834,4,0.986,4332,2,-0.008,16813,6,14.527,23633,8,34.071,6650,3,0.164,12767,4,0.22,8659,3,0.269,11878,4,0.36,9815,3,-0.384,22291,7,0.37,13349,5,0.895,4751,2,-0.025,15699,5,1596,264,796,536,787
E01011213,Kirklees 026B,E08000034,Kirklees,4.542,30977,10,0.031,30623,10,0.047,25737,8,3.147,29566,10,-0.67,25591,8,-0.554,24502,8,11.132,27490,9,12.185,21806,7,0.055,26468,9,0.032,31740,10,-1.075,29919,10,0.198,27319,9,0.08,14284,5,-2.596,28153,9,-0.186,19408,6,-0.201,18674,6,1577,269,773,535,778
E01011214,Kirklees 026C,E08000034,Kirklees,15.964,17983,6,0.083,19104,6,0.062,20905,7,6.582,25510,8,-0.003,16065,5,0.423,10129,4,26.053,10130,4,32.25,7586,3,0.111,18040,6,0.103,19614,6,-0.87,28282,9,0.253,21327,7,0.681,6032,2,-0.4,17354,6,0.809,5602,2,0.039,14658,5,1528,242,870,416,864
E01011215,Kirklees 026D,E08000034,Kirklees,17.687,16403,5,0.093,17426,6,0.075,17442,6,5.57,26638,9,0.12,14198,5,0.141,14468,5,17.091,20327,7,47.604,2327,1,0.106,18765,6,0.128,16407,5,-0.968,29129,9,0.242,22649,7,-0.249,20057,7,0.714,11798,4,1.304,1876,1,0.109,13508,5,2246,369,1264,613,1288
E01011216,Kirklees 021A,E08000034,Kirklees,9.889,24655,8,0.059,24086,8,0.047,25731,8,4.476,27945,9,-0.044,16691,6,0.485,9270,3,14.32,23858,8,15.779,18600,6,0.055,26504,9,0.081,23154,8,-1.35,31398,10,0.237,23141,8,0.121,13572,5,-1.289,22335,7,-0.149,18832,6,0.192,12250,4,1433,252,710,471,724
E01011217,Kirklees 020C,E08000034,Kirklees,8.971,25831,8,0.065,22566,7,0.065,20162,7,8.861,23009,8,-0.243,19770,7,-0.547,24418,8,9.896,28690,9,13.957,20153,7,0.063,25065,8,0.079,23488,8,-0.853,28125,9,0.287,17515,6,-0.009,15834,5,-2.657,28365,9,-0.214,19829,7,0.073,14109,5,1561,216,698,647,736
E01011218,Kirklees 020D,E08000034,Kirklees,22.436,12430,4,0.131,12431,4,0.119,9834,3,26.337,10136,4,0.338,11110,4,0.232,12987,4,12.364,26163,8,25.115,11711,4,0.182,11371,4,0.153,13813,5,0.504,8800,3,0.34,11717,4,-0.441,23138,8,-0.079,15603,5,0.51,9043,3,0.013,15085,5,1525,309,783,433,801
E01011219,Kirklees 021B,E08000034,Kirklees,9.303,25385,8,0.062,23174,8,0.053,23769,8,7.154,24880,8,-0.497,23386,8,-0.031,17149,6,12.926,25495,8,24.508,12090,4,0.082,22013,7,0.085,22494,7,-0.864,28237,9,0.262,20304,7,0.068,14498,5,-1.551,23675,8,0.472,9571,3,0.041,14636,5,1664,248,896,520,932
E01011220,Kirklees 021C,E08000034,Kirklees,41.842,3770,2,0.269,3249,1,0.179,4364,2,61.928,1529,1,0.626,7641,3,0.66,6970,3,26.394,9814,3,18.84,16163,5,0.417,1169,1,0.224,8401,3,1.387,1429,1,0.493,2302,1,0.504,7944,3,0.469,12892,4,0.214,13094,4,-0.091,16826,6,1761,434,984,343,988
E01011221,Kirklees 021D,E08000034,Kirklees,7.08,28216,9,0.039,28940,9,0.048,25375,8,6.284,25862,8,-0.52,23703,8,-0.189,19479,6,16.377,21200,7,17.627,17114,6,0.029,30776,10,0.055,28231,9,-0.982,29253,9,0.255,21169,7,0.292,10864,4,-1.458,23171,8,0.088,15066,5,0.02,14967,5,1721,296,901,524,915
E01011222,Kirklees 050D,E08000034,Kirklees,37.642,4990,2,0.171,8738,3,0.188,3804,2,18.195,15004,5,0.492,9195,3,1.293,1784,1,28.585,7973,3,47.586,2334,1,0.106,18764,6,0.11,18551,6,0.112,14282,5,0.309,15039,5,0.461,8505,3,1.153,9890,4,1.305,1866,1,0.1,13663,5,1730,246,1088,396,1127
E01011223,Kirklees 042B,E08000034,Kirklees,39.539,4405,2,0.238,4623,2,0.136,7916,3,44.799,4213,2,0.667,7209,3,1.623,737,1,25.789,10375,4,26.969,10565,4,0.409,1295,1,0.198,10091,4,1.298,1845,1,0.364,9468,3,0.107,13818,5,1.72,7823,3,0.663,7168,3,-0.192,18507,6,2143,486,1375,282,1355
