id,title,employer,location,distance,wage,trainingCourse,level,duration,startDate,closingDate,positions,trainingProvider,url
"VAC2000023924","Childcare Apprenticeship &#x2013; Level 3 Early Years Educator (NL)","DAISY CHAIN CHILDCARE (PRE-SCHOOL) LTD","Leeds (LS10 4DE)","12.0 miles","£12,480 for your first year, then could increase depending on your age","Early years educator (level 3)","3","1 year 1 month","Thursday 30 April 2026","Closes in 14 days (Wednesday 29 April 2026 at 11:59pm)","1","SWIFT ACI","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000023924"
"VAC2000023925","Childcare Apprenticeship &#x2013; Level 3 Early Years Educator (NL)","DAISY CHAIN CHILDCARE (PRE-SCHOOL) LTD","Leeds (LS10 4DE)","12.0 miles","£12,480 for your first year, then could increase depending on your age","Early years educator (level 3)","3","1 year 1 month","Thursday 30 April 2026","Closes in 14 days (Wednesday 29 April 2026 at 11:59pm)","1","SWIFT ACI","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000023925"
"VAC2000014396","Vehicle Technician Apprentice","Stratstone BMW","Bury St. Edmunds, Harrogate, Hull, Leeds, Milton Keynes, Tunbridge Wells","12.1 miles","£16,640 for your first year, then could increase depending on your age","Motor vehicle service and maintenance technician - light vehicle (level 3)","3","3 years","Monday 7 September 2026","Wednesday 1 July 2026","1","INSPIRO LEARNING LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000014396"
"VAC2000025472","Mechatronics Technician Apprentice  - DePuy Synthes","Cogent Ssc Limited","Beeston (LS11 8DT)","12.1 miles","£14,768 for your first year, then could increase depending on your age","Mechatronics maintenance technician (level 3)","3","3 years 9 months","Tuesday 1 September 2026","Closes in 15 days (Thursday 30 April 2026)","1","THE UNIVERSITY OF SHEFFIELD","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000025472"
"VAC2000025539","HR Apprentice","thebigword","Leeds (LS12 6LL)","12.1 miles","£24,000 a year","People professional (level 5)","5","1 year 6 months","Monday 18 May 2026","Closes in 9 days (Friday 24 April 2026)","1","POTENTIAL REALISED - HR &amp; TRAINING LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000025539"
"VAC2000025754","IT Technician Apprenticeship","West SILC","Pudsey (LS28 6HL)","12.2 miles","£15,392 for your first year, then could increase depending on your age","Information communications technician (level 3)","3","1 year 6 months","Monday 1 June 2026","Friday 29 May 2026","1","LEARNING FOR FUTURES LTD","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000025754"
"VAC2000026664","Chef Apprenticeship","Castle - Wakefield","343 Barnsley Road (WF2 6AS)","12.3 miles","£16,926 a year","Production chef (level 2)","2","1 year 3 months","Wednesday 20 May 2026","Closes in 28 days (Wednesday 13 May 2026)","1","LIFETIME TRAINING GROUP LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000026664"
"VAC2000005259","Apprentice","Lake Garage","LITTLEBOROUGH (OL15 9LZ)","12.4 miles","£16,640 to £26,436.80, depending on your age","Autocare technician (level 2)","2","1 year 7 months","Tuesday 30 June 2026","Monday 1 June 2026","1","MANTRA LEARNING LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000005259"
"VAC2000024300","AAT Accounts Apprentice","Gough and Kelly Limited","UK (LS13 3AX)","12.5 miles","£18,000 a year","Assistant accountant (level 3)","3","1 year 3 months","Friday 1 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","KAPLAN FINANCIAL LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000024300"
"VAC2000025641","Early Years Level 3 Apprenticeship - Kiddie-Creche Private Day Nursery","KIDDIE-CRECHE PRIVATE DAY NURSERY LTD","BINGLEY (BD16 1TZ)","12.6 miles","£15,600 for your first year, then could increase depending on your age","Early years educator (level 3)","3","1 year 6 months","Monday 27 April 2026","Closes in 9 days (Friday 24 April 2026 at 11:59pm)","1","AIRE VOCATIONAL TRAINING LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000025641"
"VAC2000014994","Apprentice Upholsterer - REF 14867","VISAT NORTH LIMITED","LITTLEBOROUGH (OL15 9EG)","12.7 miles","£16,224 for your first year, then could increase depending on your age","Furniture manufacturer (level 2)","2","2 years","Monday 18 May 2026","Closes in 26 days (Monday 11 May 2026)","1","NORTH LANCS. TRAINING GROUP CIC","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000014994"
"VAC2000021060","Pharmacy Service Assistant Apprenticeship L2","GREEN LIFE PHARMA LTD","Burnley, Derby, Leeds, Shipley, Stockport","12.7 miles","£15,600 for your first year, then could increase depending on your age","Pharmacy services assistant (level 2)","2","1 year","Wednesday 13 May 2026","Closes in 9 days (Friday 24 April 2026 at 11:59pm)","1","GET SET ACADEMY LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000021060"
"VAC2000023685","Outreach Support Worker Apprentice","LEEDS AUTISM SERVICES","LEEDS (LS12 1TZ)","12.8 miles","£14,560 for your first year, then could increase depending on your age","Adult care worker (level 2)","2","1 year 6 months","Sunday 10 May 2026","Closes today at 11:59pm","3","LUMINATE EDUCATION GROUP","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000023685"
"VAC2000025994","Apprentice Dental Nurse - Littleborough","Gensmile - MF Dental Care","58-62 Church StreetLittleborough (OL15 8AU)","12.9 miles","£16,640 to £26,436.80, depending on your age","Dental nurse (level 3)","3","1 year 6 months","Friday 15 May 2026","Closes in 23 days (Friday 8 May 2026)","1","TEMP DENT DENTAL AGENCY LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000025994"
"VAC2000014892","Enterprise Light Vehicle Technician Apprenticeship","ENTERPRISE RENT-A-CAR UK LIMITED","Parkside Lane (LS11 5TD)","12.9 miles","£17,846.40 a year","Motor vehicle service and maintenance technician - light vehicle (level 3)","3","2 years 8 months","Sunday 2 August 2026","Closes in 4 days (Sunday 19 April 2026)","1","REMIT GROUP LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000014892"
"VAC2000026620","Pharmacy Assistant Apprenticeship","EXEL (CHEMISTS) LIMITED","BRADFORD (BD10 0BU)","12.9 miles","£12,480 for your first year, then could increase depending on your age","Pharmacy services assistant (level 2)","2","1 year 3 months","Saturday 16 May 2026","Closes in 30 days (Friday 15 May 2026)","1","I &amp; F LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000026620"
"VAC2000024468","Chef Apprenticeship","Eastfield Arms - Barnsley","Wakefield Road (S75 6DJ)","13.0 miles","£16,926 a year","Production chef (level 2)","2","1 year 3 months","Friday 8 May 2026","Closes in 16 days (Friday 1 May 2026)","1","LIFETIME TRAINING GROUP LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000024468"
"VAC2000012860","Early Years Apprentice Level 2","THE ARK LITTLEBOROUGH LIMITED","Littleborough (OL15 8DH)","13.1 miles","£15,600 for your first year, then could increase depending on your age","Early years practitioner (level 2)","2","1 year","Saturday 16 May 2026","Closes in 30 days (Friday 15 May 2026 at 11:59pm)","1","ROCHDALE TRAINING ASSOCIATION LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000012860"
"VAC2000025129","Apprentice Mechanic","BAILDON GREEN AUTOS LIMITED","SHIPLEY (BD17 7NW)","13.5 miles","£16,640 for your first year, then could increase depending on your age","Autocare technician (level 2)","2","2 years","Friday 1 May 2026","Closes in 15 days (Thursday 30 April 2026 at 11:59pm)","1","LUMINATE EDUCATION GROUP","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000025129"
"VAC2000025473","Teaching Assistant Apprentice","LIFT SCHOOLS","Barnsley (S71 4JS)","13.7 miles","£18,366 a year","Teaching assistant (level 3)","3","2 years","Monday 20 April 2026","Closes today","1","LIFT SCHOOLS","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000025473"
"VAC2000006879","Apprentice Arboricultural Consultant - Basingstoke or Leeds - Level 6 - Immediate Start","AECOM LIMITED","Basingstoke, Leeds","13.7 miles","Competitive Competitive wage offered","Professional arboriculturist (level 6)","6","3 years 6 months","Monday 22 June 2026","Monday 1 June 2026","1","The training provider will be Myerscough College University who deliver the following course - Level 6 Professional Arboriculturist. The course is delivered mostly online but there is one week of college attendance during the third year. Accommodation at the college Preston site is made available for this.","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000006879"
"VAC2000026690","Apprenticeship Level 6 - Ecology and Nature - Birmingham/Bristol","Arup","Leeds (LS1 4AP)","13.7 miles","Competitive Competitive wage offered","Environmental practitioner (Degree) (level 6)","6","4 years 5 months","Wednesday 2 September 2026","Closes in 16 days (Friday 1 May 2026)","1","COVENTRY UNIVERSITY","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000026690"
"VAC2000020399","Arboriculturist Higher Apprenticeship - Manchester/Leeds","WSP UK LIMITED","Leeds, Manchester","13.7 miles","Competitive Competitive wage offered","Arboriculturist (level 4)","4","2 years 6 months","Monday 7 September 2026","Closes in 16 days (Friday 1 May 2026)","2","MYERSCOUGH COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000020399"
"VAC2000023918","Protective Security Advisor Higher Apprenticeship - Leeds (Building Specialists)","WSP UK LIMITED","Leeds (LS1 4AP)","13.7 miles","Competitive Competitive wage offered","Protective security adviser (level 4)","4","2 years","Monday 7 September 2026","Closes in 16 days (Friday 1 May 2026)","2","INTELLIGENCIA TRAINING LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000023918"
"VAC2000021541","Apprentice Services Assistant","PRESTFORD LIMITED","Leeds (LS4 2EL)","13.7 miles","£15,600 for your first year, then could increase depending on your age","Pharmacy services assistant (level 2)","2","1 year 3 months","Tuesday 21 April 2026","Closes in 5 days (Monday 20 April 2026 at 11:59pm)","1","CAVITY DENTAL TRAINING LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000021541"
"VAC2000022276","Business Administration Apprentice","CLICK 24 LTD","Rochdale (OL16 3ND)","13.8 miles","£16,640 for your first year, then could increase depending on your age","Business administrator (level 3)","3","1 year 6 months","Saturday 16 May 2026","Closes in 30 days (Friday 15 May 2026 at 11:59pm)","1","ROCHDALE TRAINING ASSOCIATION LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000022276"
"VAC2000022427","IVECO Heavy Vehicle Technician Apprenticeship - Leeds","SKILLNET  LIMITED","Leeds (LS10 1SL)","13.9 miles","£16,640 for your first year, then could increase depending on your age","Heavy vehicle service and maintenance technician (level 3)","3","3 years","Monday 1 June 2026","Sunday 31 May 2026","1","SKILLNET LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000022427"
"VAC2000023381","Apprentice Insurance Broker","Actus Insurance","Sheffield (S36 2AE)","13.9 miles","£18,000 a year","Insurance professional (level 4)","4","2 years","Monday 3 August 2026","Closes in 29 days (Thursday 14 May 2026 at 11:59pm)","1","DAVIES LEARNING SOLUTIONS LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000023381"
"VAC2000024473","Early Years Educator Apprentice","THE TOTS TEAM LTD","Off Station Approach, Kirkstall Ln, Kirkstall (LS5 3LD)","14.0 miles","£16,640 for your first year, then could increase depending on your age","Early years educator (level 3)","3","1 year 2 months","Monday 4 May 2026","Closes in 15 days (Thursday 30 April 2026)","2","REALISE LEARNING AND EMPLOYMENT LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000024473"
