id,title,employer,location,distance,wage,trainingCourse,level,duration,startDate,closingDate,positions,trainingProvider,url
"VAC2000017769","Apprenticeship in Horse Care &#x2013; Equine Groom Level 2","LOUISA GAUNT EQUINE SERVICES","HUDDERSFIELD (HD3 3FR)","5.2 miles","£12,480 for your first year, then could increase depending on your age","Equine groom (level 2)","2","1 year 1 month","Thursday 7 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","STUBBING COURT TRAINING LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000017769"
"VAC2000026380","AAT Accounts/Audit Apprentice","Gibson Booth","UK (HD8 8BJ)","5.3 miles","£16,000 a year","Assistant accountant (level 3)","3","1 year 6 months","Monday 24 August 2026","Closes in 18 days (Sunday 3 May 2026)","1","KAPLAN FINANCIAL LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000026380"
"VAC2000026330","Dental Nursing Apprentice Level 3","DR K S HUNJAN","HALIFAX (HX1 1DJ)","5.9 miles","£16,640 for your first year, then could increase depending on your age","Dental nurse (level 3)","3","1 year 6 months","Tuesday 5 May 2026","Closes in 16 days (Friday 1 May 2026 at 11:59pm)","1","BRADFORD COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000026330"
"VAC2000026016","Apprentice Recruitment Consultant","COGENT STAFFING LIMITED","Halifax (HX1 2EQ)","6.0 miles","£16,640 for your first year, then could increase depending on your age","Customer service practitioner (level 2)","2","1 year","Monday 1 June 2026","Closes in 15 days (Thursday 30 April 2026 at 11:59pm)","1","NATIONAL BUSINESS COLLEGE LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000026016"
"VAC2000021211","Hairdressing Apprenticeship","Salon Exceed Halifax","West Yorkshire (HX1 1TT)","6.0 miles","£6,656 for your first year, then could increase depending on your age","Hairdressing professional (level 2)","2","2 years","Monday 7 September 2026","Friday 31 July 2026","1","EXCEED TRAINING COMPANY LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000021211"
"VAC2000024421","IT Apprentice","KAINUU LTD","Halifax (HX1 1AA)","6.0 miles","£18,000 a year","Information communications technician (level 3)","3","1 year 4 months","Saturday 30 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","NOWSKILLS LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000024421"
"VAC2000024322","Apprentice Dental Nurse - Yorkshire","N S S PROPERTIES LTD","Halifax, Leeds, SHIPLEY","13.1 miles","£17,680 for your first year, then could increase depending on your age","Dental nurse (level 3)","3","1 year","Monday 25 May 2026","Thursday 21 May 2026","1","HARRIET ELLIS TRAINING SOLUTIONS LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000024322"
"VAC2000012708","(App816) Business Administrator Apprentice Level 3","NORTHERN BITES HALIFAX LTD","HALIFAX (HX1 5LQ)","6.4 miles","£14,560 for your first year, then could increase depending on your age","Business administrator (level 3)","3","1 year 6 months","Saturday 2 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000012708"
"VAC2000019170","Electrical, Control and Instrumentation Apprentice Level 3","NUFARM UK LIMITED","West Yorkshire (BD12 9EJ)","6.5 miles","£16,000 a year","Engineering maintenance technician - dual discipline (level 3)","3","4 years","Monday 24 August 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000019170"
"VAC2000019701","Mechanical Engineering Apprentice Level 3","NUFARM UK LIMITED","West Yorkshire (BD12 9EJ)","6.5 miles","£16,000 a year","Engineering maintenance technician - single discipline (level 3)","3","3 years 6 months","Monday 24 August 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000019701"
