referenceNumber,larsCode,title,level,route,typicalDuration,maxFunding,status
"ST1331","741","Power industry substation fitter","3","Engineering and manufacturing","30","27000","Approved for delivery"
"ST0523","410","First officer pilot","6","Transport and logistics","24","27000","Approved for delivery"
"ST0802","539","Curtain wall installer","3","Construction and the built environment","30","14000","Approved for delivery"
"ST1332","742","Power industry distribution cable jointer","3","Engineering and manufacturing","30","27000","Approved for delivery"
"ST0001","204","Accountancy or taxation professional","7","Legal, finance and accounting","36","21000","Approved for delivery"
"ST1339","787","Bulk storage terminal technician","3","Engineering and manufacturing","30","22000","Approved for delivery"
"ST0596","349","Marketing executive","4","Sales, marketing and procurement","15","6000","Approved for delivery"
"ST0044","511","Design and construction management (degree)","6","Construction and the built environment","48","18000","Approved for delivery"
"ST0482","327","Digital and technology solutions specialist (integrated degree)","7","Digital","18","21000","Approved for delivery"
"ST0103","338","Express delivery operative","2","Transport and logistics","12","4000","Approved for delivery"
"ST0337","214","Passenger transport operations manager","4","Transport and logistics","18","12000","Approved for delivery"
"ST0496","313","Rail and rail systems senior engineer (integrated degree)","6","Engineering and manufacturing","36","24000","Approved for delivery"
"ST0981","784","Mattress manufacturing operative","2","Engineering and manufacturing","15","9000","Approved for delivery"
"ST0547","384","Retail leadership (integrated degree)","6","Sales, marketing and procurement","48","22000","Approved for delivery"
"ST0752","456","Drinks dispense technician","3","Engineering and manufacturing","18","8000","Approved for delivery"
"ST0423","311","Business to business sales professional (integrated degree)","6","Sales, marketing and procurement","36","21000","Approved for delivery"
"ST0603","323","Professional economist (integrated degree)","6","Legal, finance and accounting","42","23000","Approved for delivery"
"ST0471","517","Express delivery manager (degree)","6","Transport and logistics","36","22000","Approved for delivery"
"ST0427","292","Marine pilot","5","Transport and logistics","30","18000","Approved for delivery"
"ST0410","258","Senior and head of facilities management (integrated degree)","6","Construction and the built environment","42","18000","Approved for delivery"
"ST0475","216","Electrical power networks engineer","4","Engineering and manufacturing","30","27000","Approved for delivery"
"ST0562","326","Learning and development practitioner","3","Business and administration","18","6000","Approved for delivery"
"ST0268","312","Piling attendant","2","Construction and the built environment","18","15000","Approved for delivery"
"ST0046","259","Civil engineering senior technician","4","Construction and the built environment","36","11000","Approved for delivery"
"ST0428","265","Port marine operations officer","4","Transport and logistics","24","12000","Approved for delivery"
"ST0492","254","Geospatial mapping and science specialist (degree)","6","Construction and the built environment","60","27000","Approved for delivery"
"ST0047","501","Construction site management (degree)","6","Construction and the built environment","36","18000","Approved for delivery"
"ST0529","245","Food and drink advanced engineer (integrated degree)","6","Engineering and manufacturing","60","24000","Approved for delivery"
"ST0150","212","Electrical, electronic product service and installation engineer","3","Engineering and manufacturing","36","9000","Approved for delivery"
"ST0045","482","Construction quantity surveyor (degree)","6","Construction and the built environment","36","18000","Approved for delivery"
"ST0568","425","Psychological wellbeing practitioner","6","Health and science","12","9000","Approved for delivery"
"ST0368","380","Wall and floor tiler","2","Construction and the built environment","30","14000","Approved for delivery"
"ST0362","143","Compliance and risk officer","3","Legal, finance and accounting","15","11000","Approved for delivery"
"ST0477","272","Academic professional","7","Education and early years","18","9000","Approved for delivery"
"ST0535","444","Clinical coder","3","Health and science","18","5000","Approved for delivery"
"ST1484","830","Internal audit technician","4","Legal, finance and accounting","18","10000","Approved for delivery"
"ST0556","405","Improvement leader","6","Business and administration","18","15000","Approved for delivery"
"ST0497","301","Rail and rail systems principal engineer (integrated degree)","7","Engineering and manufacturing","48","24000","Approved for delivery"
"ST0334","261","Trade supplier","2","Sales, marketing and procurement","12","4000","Approved for delivery"
"ST0087","308","Children, young people and families manager","5","Care services","24","6000","Approved for delivery"
"ST0571","341","Heritage engineering technician","3","Engineering and manufacturing","42","26000","Approved for delivery"
"ST0400","322","Small commercial vessel crewmember","3","Transport and logistics","24","22000","Approved for delivery"
"ST0053","336","Highways maintenance skilled operative","2","Construction and the built environment","18","9000","Approved for delivery"
"ST0536","424","Chartered town planner (degree)","7","Construction and the built environment","60","27000","Approved for delivery"
"ST0558","305","Cabin crew","3","Transport and logistics","12","5000","Approved for delivery"
"ST0229","223","Hospitality manager","4","Catering and hospitality","18","6000","Approved for delivery"
"ST0065","164","Building services engineering installer","2","Construction and the built environment","24","12000","Approved for delivery"
"ST1025","671","Urban driver","2","Transport and logistics","12","8000","Approved for delivery"
"ST0525","528","Creative industries production manager","7","Creative and design","18","8000","Approved for delivery"
"ST0263","240","Craft carpentry and joinery","3","Construction and the built environment","15","13000","Approved for delivery"
"ST0481","293","Digital marketer (integrated degree)","6","Sales, marketing and procurement","36","21000","Approved for delivery"
"ST0376","347","Motorcycle technician (repair and maintenance)","3","Engineering and manufacturing","36","11000","Approved for delivery"
"ST0088","309","Children, young people and families practitioner","4","Care services","24","6000","Approved for delivery"
"ST0375","230","Tunnelling operative","2","Construction and the built environment","12","12000","Approved for delivery"
"ST0590","536","Registrar (creative and cultural)","6","Creative and design","36","16000","Approved for delivery"
"ST0592","394","Marina and boatyard operative","2","Transport and logistics","18","10000","Approved for delivery"
"ST0561","270","Senior investment and commercial banking professional","7","Legal, finance and accounting","18","18000","Approved for delivery"
"ST0472","213","Financial services professional","6","Legal, finance and accounting","42","18000","Approved for delivery"
"ST0588","342","Propulsion technician","4","Engineering and manufacturing","42","21000","Approved for delivery"
"ST0612","348","Marketing manager","6","Sales, marketing and procurement","24","9000","Approved for delivery"
"ST0574","328","Ordnance munitions and explosives (OME) professional (integrated degree)","6","Engineering and manufacturing","60","24000","Approved for delivery"
"ST0461","329","Formworker","2","Construction and the built environment","18","8000","Approved for delivery"
"ST0610","324","Internal audit professional","7","Legal, finance and accounting","36","17000","Approved for delivery"
"ST0301","228","Leisure duty manager","3","Business and administration","18","5000","Approved for delivery"
"ST0548","398","Supply chain leadership professional (integrated degree)","6","Transport and logistics","48","21000","Approved for delivery"
"ST0453","416","Water treatment technician","3","Engineering and manufacturing","24","15000","Approved for delivery"
"ST0528","220","High speed rail and infrastructure technician","4","Engineering and manufacturing","36","21000","Approved for delivery"
"ST0564","252","Advanced clinical practitioner (integrated degree)","7","Health and science","36","12000","Approved for delivery"
"ST0974","709","Digital learning designer","5","Digital","24","16000","Approved for delivery"
"ST0144","175","Material processing plant operator","2","Engineering and manufacturing","18","13000","Approved for delivery"
